substrate	product	barrier	heat
CC(C)=C[CH+]C[C@]1(C)[C@H]2CC[C@H](C2)[C@H]1C	C[C@H]1[C+](C/C=C\C(C)(C)C)[C@H]2CC[C@@H]1C2	16.417	8.839
C/C1=C/CC[C+](C)[C@H]2CC(C)(C)[C@@H]2CC1	C[C+]1CC[C@@H]2[C@H](CC2(C)C)[C@]2(C)CC[C@@H]12	7.189	-2.403
CC1=CC[C+]([C@]2(C(C)C)CC[C@H]2C)CC1	CC1=CC[C@@]2(CC1)CC[C@@H](C)[C+]2C(C)C	1.46	-12.743
C[C+]1C[C@@H]2CC(C)(C)CC[C@@]3(C)CC[C@@]123	CC1(C)CC[C@@]2(C)CC[C+]2[C@]2(C)C[C@@H]2C1	12.81	1.877
C[C+]1C[C@@]2(C)CC[C@@]3(CC[C@H]3C(C)C)[C@@H]12	CC(C)[C@@H]1CC[C@]12[CH+][C@@]1(C)C[C@@]1(C)CC2	1.402	-4.134
C[C+]1C[C@H]2C[C@@H]1[C@@]1(C(C)C)CC[C@H](C)[C@@H]21	CC1=CC[C@@H]([C@H]2[C+](C(C)C)CC[C@@H]2C)C1	31.193	19.449
C[C+]1CCC=C2CCCC(C)(C)C[C@@H]1C2	C[C+]1CC[C@H]2[C@@H]3CCC(C)(C)CCC[C@]123	18.456	18.442
C[C+]1CC[C@@H]2[C@H]3[C@H](C(C)C)CC[C@]2(C)[C@@H]13	CC(C)[C@@H]1C[CH+][C@@]2(C)[C@@H]3CC[C@@]2(C)C[C@H]13	20.714	5.969
C[C+]1CC[C@@H]2[C@@H](CC2(C)C)[C@]2(C)CC[C@H]12	C[C+](C)C[C@@H]1[C@@H]2CC[C@]2(C)[C@H]2CC[C@@]12C	4.231	0.875
C[C@H]1CC[C@]23C[C@H](C)[C@H](CC[C+]12)C3(C)C	C[C@H]1C[C+]2CC[C@H](C)[C@@]23CC[C@@H]1C3(C)C	7.72	2.653
C[C+](C)[C@H]1CC[C@@H](C)[C@@]12CC[C@]1(C)C[C@H]21	CC(C)[C+]1CC[C@@H](C)[C@@]12CC[C@]1(C)C[C@@H]12	8.865	4.832
CC1=C[C@@H]([C@@H](C)[C+]2CC[C@H]2C(C)C)CC1	C[C+]1CC[C@H]2[C@@H]1[C@@H](C(C)C)C1(CC1)[C@@H]2C	16.244	-19.249
C[C+]1CC[C@@]23[C@@H]1[C@@H]2[C@@H](C)CC[C@@H]3C(C)C	CC1=C[C@H]2[C+](CC1)[C@@H](C(C)C)CC[C@@H]2C	29.029	14.135
CC(C)[C@]12CC[C+]1C[C@H]1CC[C@H](C)[C@H]1C2	CC(C)[C+]1CC[C@]12C[C@H]1CC[C@H](C)[C@H]1C2	6.766	1.125
C[C+]1CC[C@@]12[C@@H](C)C[C@@H]1CC(C)(C)C[C@@H]12	C[C@H]1C[C@@H]2CC(C)(C)C[C@@H]2[C+]1C1(C)CC1	12.701	0.685
C[C@@H]1CC[CH+][C@@]12C(C)(C)[C@H]1CC[C@]2(C)C1	C[C@@H]1CC[C@H]2[C+]1C(C)(C)[C@H]1CC[C@]2(C)C1	1.034	-21.045
