substrate	product	barrier	heat
CC(C)[C@H]1CC[C@]2(C)[C+]1CC[C@]1(C)C[C@@H]12	C[C+]1CC[C@H](C(C)C)[C@@]12CC[C@]1(C)C[C@@H]12	8.014	2.337
CC(C)=CCC[C@]1(C)C[C@@H]2CC[C@H]1[C+]2C	CC(C)=CCC[C@]1(C)C[C@@H]2CC[CH+][C@@]21C	13.892	11.444
C[C+]1[C@H]2CC[C@@]3(C2)[C@@H](C)CC[C@H]3C1(C)C	CC1=CC[C@]2(CC1)[C@@H](C)CC[C@H]2[C+](C)C	56.103	21.406
CC1=CC[C@@]2(C)[C@@H](C)CC[C+](C)[C@@H]2CC1	C[C@H]1CC[C@@]2(C)[C+]3CC[C@]3(C)CC[C@@]12C	14.544	5.97
CC1=CC[C+]([C@@]2(C(C)C)CC[C@@H]2C)CC1	C[C+]1CC[C@@]2([C@@]3(C(C)C)CC[C@@H]3C)C[C@@H]12	0	-6.034
CC1=CC[C@H]2[C@@H](C)CC[C+](C(C)C)[C@H]2C1	C[C+]1C[C@H]2[C@H]3C[C@@H]1[C@]2(C(C)C)CC[C@@H]3C	3.173	-17.26
C/C1=C\CC[C@@H](C)[C@@]2([C+](C)C)C[C@H]2CC1	C[C+]1CC[C@@H]2CC(C)(C)[C@]23[C@H]1CC[C@H]3C	11.024	-49.233
C[C@H]1C[C@H](C)[C@@]2(C)CC[C@@H](C)C3(CC3)[C+]12	C[C@H]1C[C@H](C)[C@@]2(C)[C+]1CC[C@@H](C)C21CC1	9.433	8.786
C[C+]1CCC[C@@]2(C)CC[C@]2(C)[C@@]2(C)C[C@@H]12	C/C1=C\C[C+](C)[C@@]2(C)CC[C@]2(C)CCC1	13.997	13.471
C/C1=C\CC(C)(C)/C=C\C[C+](C)CCC1	C[C+]1CCC[C@@]2(C)C[C@H]2[C@H]2[C@@H]1CC2(C)C	0.507	-23.166
C[C+](C)[C@H]1CC[C@@]2(C)CC[C@H]2[C@@]2(C)C[C@@H]12	CC(C)[C+]1/C=C/C[C@@]2(C)CC[C@H]2[C@@H](C)C1	5.436	-11.645
C[C@H]1[C+]2CC(C)(C)[C@H]1CC[C@H]2C1(C)CC1	C[C+]1CC[C@@]23CC(C)(C)[C@@H](CC[C@@H]12)[C@H]3C	9.12	-35.185
CC1=C[C@H]2[C@H]([C+](C)C)CC[C@@]2(C)CCC1	CC(C)=CCC[C@]1(C)[CH+]C=C(C)CCC1	21.997	15.354
C[C@H]1C[C@@]2(C)CC[C@H]3[C+]2[C@@]1(C)CC[C@H]3C	C[C+]1[C@@H](C)C[C@@]2(C)CCC[C@@]3(C)CC[C@]132	9.722	9.722
CC1=C2[C+](CC(C)C)CC[C@H](C)[C@H]2CC1	C[C@H]1CC[C@H]2[C+]1[C@@]1(CC[C@@H]2C)CC1(C)C	31.941	6.257
C[C+](C)[C@@H]1CC[C@@]12[C@H](C)CC[C@@]1(C)C[C@H]12	CC(C)=CCC[C+]1[C@@H]2C[C@]2(C)CC[C@H]1C	5.06	-1.845
CC(C)[C@@]12CC[C@H]3CC[C@H](C)[C@@H](C1)[C+]3C2	CC(C)[C@@]12CC[C@]3([CH+]CC[C@H](C)[C@H]3C1)C2	9.198	7.94
C[C+]1[C@@H]2CC[C@]2(C)[C@@H]2CC[C@@]1(C(C)C)C2	CC(C)[C+]1C[C@H]2CC[C@]1(C)[C@@H]1CC[C@@]12C	1.252	-2.361
C[C+]1C[C@H]2C[C@@H]1[C@H](/C=C\C(C)C)C[C@@H]2C	CC(C)[CH+]/C=C1/C[C@H](C)[C@H]2C[C@H](C)[C@@H]1C2	68.378	-7.829
C[C+]1CC[C@@]2([C@@H](C)CCC2(C)C)C12CC2	C[C@H]1CCC(C)(C)[C@]12CC[C@]1(C)CC[C+]12	2.645	0.272
C[C@H]1CC[C@@]23CC(C)(C)[C@@H](CC[C+]12)[C@H]3C	C[C@H]1CC[C+]2CC(C)(C)[C@H]3CC[C@]21[C@@H]3C	4.968	-2.609
C[C+]1[C@@H](C)C[C@]12CC[C@H](C)[C@@H]1CC[C@@]12C	C[C@H]1CC[C+]([C@@]2(C)C[C@@H]2C)[C@@]2(C)CC[C@@H]12	4.193	-10.278
CC1=CC[C@]2(CC1)[C+](C)CCCC2(C)C	CC1=CC[C@]2(C)CCCC(C)(C)[C+]2CC1	2.991	0.287
C/C1=C/C[C+](C(C)C)CC/C(C)=C/CC1	C/C1=C/CC[C+](C)[C@H]2C[C@]2(C(C)C)CC1	6.616	-5.123
C[C+]1[C@H](C)CC[C@]12C[C@H]1CC[C@@H]2C1(C)C	C[C@H]1[C@H](C)CC[C@]12[CH+][C@H]1CC[C@@H]2C1(C)C	12.164	8.879
CCC[C+]1C[C@H]2CC[C@]1(C)CC2=C(C)C	CCC[C@]12CC(=C(C)C)[C@H](CC[C+]1C)C2	7.302	1.893
CC(C)=CCC[C+]1[C@@H]2CC[C@@](C)(C2)[C@@H]1C	C[C+](C)[C@@H]1CC[C@]23C[C@](C)(CC[C@H]12)[C@@H]3C	19.721	-5.931
C[C+]1C[C@@H]2[C@H]1CC[C@@]21[C@H](C)CCC1(C)C	CC1=CCC[C+]2[C@H](C1)[C@H](C)CCC2(C)C	17.049	2.83
C=CCC/C=C(\C)[C@@H]1CC[C+](C)C1(C)C	C=CCC[CH+][C@]1(C)[C@@H]2CCC(C)(C)[C@@]21C	10.058	-5.227
C[C+]1C[C@@H]2[C@H](C)CC[C@@]2(C)[C@@]2(C)CC[C@@H]12	CC1=CCC[C@]2(C)[C+](C)CC[C@@H](C)[C@H]2C1	15.035	-1.502
C[C@H]1CC[C@@]23CC[C@@H](C2)[C@@H](C(C)(C)C)[C+]13	C[C@H]1CC[C+]2CC[C@H]3C[C@]21[C@@H]3C(C)(C)C	6.574	5.737
CC(C)[C+]1CC[C@H]2[C@H]3CC[C@](C)(C3)[C@@]12C	CC(C)[C@@]1(C)CC[C@@H]2[C+]1[C@]1(C)CC[C@H]2C1	14.016	3.435
CC1(C)CCC[C@]2(C)[C+]1C[C@@]1(C)CC[C@H]12	C[C+]1[C@@H]2CC[C@]2(C)C[C@@]12CCCC2(C)C	2.854	-1.65
C/C1=C\C=C/C(C)(C)CC[C+](C)CCC1	C/C1=C\CC[C+](C)C/C=C/C(C)(C)CC1	47.158	34.652
C[C+]1[C@@H]2CC[C@]3(C2)[C@@H](C)CC[C@@H]3C1(C)C	CC(C)=CCC[C@H](C)[C+]1CC=C(C)CC1	6.793	6.725
C[C+]1CC[C@H]2C[C@@H]3CC(C)(C)CCC[C@]123	CC1(C)CCC[C+]2[C@H](C[C@@H]3CC[C@]23C)C1	0	-14.998
CC1=C(C2(C)CC[C+](C(C)C)CC2)CC1	C[C+]1CC[C@@]12[C@]1(C)CC[C@@]2(C(C)C)CC1	2.586	-25.957
C[C+](C)C/C=C1\CC[C@H](C)[C@H]2CC[C@@]12C	C[C@H]1CC[C+]([C@H]2CC2(C)C)[C@]2(C)CC[C@H]12	0	-16.952
CC(C)=CCC[C@]1(C)[C+](C)[C@@H]2CC[C@H]1C2	C[C+](C)[C@@H]1C[C@H]1[C@@]1(C)[C@H]2CC[C@H](C2)[C@@H]1C	12.095	-11.878
CC1(C)C[C+]2[C@@H](C1)C[C@@]1(C)CCC[C@@]21C	CC1(C)C[C+]2[C@H](C1)C[C@@]1(C)CCC[C@@]21C	12.154	-1.26
C[C+](C)[C@H]1[C@@H]2C[C@H](C)[C@@H]3CC[C@@]1(C)[C@H]2C3	CC(C)=C[C@@H]1C[C@H](C)[C@@H]2CC[C+](C)[C@H]1C2	1.628	-11.308
C[C@@H]1CCC[C@@H]2[C+]1[C@@]1(C)CC[C@]2(C)[C@@H]1C	C[C+]1CC[C@]2(C)[C@H](C)[C@@]13[C@H]2CCC[C@H]3C	14.734	14.162
C[C+](C)[C@@]12CC[C@]3(C)CC[C@@H]3[C@]1(C)CC2	CC1(C)CC[C@]2(C)[C+]1CC[C@]1(C)CC[C@@H]12	11.885	-18.746
C[C+]1CC[C@H]2[C@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	C[C@@H]1CC[C+]2[C@H](CC2(C)C)[C@@]2(C)CC[C@@H]12	14.326	1.872
C[C+](C)[C@@]12CC[C@@]3(C)CCC[C@@](C)(C1)[C@H]32	C[C+](C)[C@@]12CC[C@@]3(C)CCC[C@@](C)(C1)[C@H]32	10.14	-4.101
CC(C)=C1CC[C+]([C@]2(C)CCC[C@@H]2C)C1	CC(C)=C1CC[C@]2(C1)[C+](C)CCC[C@@H]2C	2.796	-0.306
C[C+]1C(C)(C)CCC[C@]12CC[C@@]1(C)C[C@H]12	CC1(C)CCC[C+]2[C@@H]3C[C@]3(C)CC[C@@]21C	3.618	2.251
CC(C)=CCC[C@@H](C)[C@@]12CC[C+](C)[C@@H]1C2	CC1=CC[C@@]2(CC1)[C@H](C)CC[C@@H]2[C+](C)C	10.148	-11.654
C[C+]1CC[C@]2([C@@H]3CC(C)(C)C[C@@H]3C)C[C@H]12	CC1=CC[C+]([C@@H]2CC(C)(C)C[C@@H]2C)CC1	9.969	8.256
C[C@@H]1CC[C+]2CC[C@@H]3C[C@@]21[C@H]3C(C)(C)C	C[C@@H]1CC[C@]23CC[C@H](C2)[C@H](C(C)(C)C)[C+]13	2.035	-5.507
CC1=CCC(C)=C(CCC[C+](C)C)CC1	CC(C)=CCC[C@@H]1CC[C+](C)[C@H]2C[C@@]12C	2.252	-13.097
CC1=CC[C@@]2(C)CC[C@H](C(C)C)[C+]2CC1	C[C+]1CCC2=C(C(C)C)CC[C@]2(C)CC1	5.319	-3.496
C[C+]1[C@H]2CC[C@@H]3CC[C@@H](C)[C@@]3(C2)C1(C)C	C[C+]1C(C)(C)[C@H]2CC[C@@H]3CC[C@@H](C)[C@@]13C2	2.822	-3.634
CC(C)C[C@@]12C[C@H]3C[CH+][C@]1(C)[C@@H]2C[C@@H]3C	C[C+]1[C@@H]2C[C@H](C)[C@@H]3C[C@H]1[C@@]2(CC(C)C)C3	7.321	7.19
CC(C)C1([C+]2C[C@H]3CC[C@H](C)[C@H]3C2)CC1	CC(C)[C+]1CC[C@@]12C[C@H]1CC[C@H](C)[C@H]1C2	5.983	4.114
CC(C)[C@@]12CC[C@H]3CC[C@H](C)[C@@H](C1)[C+]3C2	C=C1[C@H]2CC[C@H]([C+](C)C)C[C@@H]1[C@@H](C)CC2	25.552	25.329
CC(C)[C@@]1(C)CC[C@@]23CC[C@]2(C)CC[C+]13	C[C+](C(C)C)[C@@]12CC[C@@]3(C)CC[C@]31CC2	12.862	12.784
C=C(C)[C@@H]1CC[C@@H](C)[C@H]2CC[C+](C)[C@H]2C1	CC1=C2C[C@H](C(C)C)CC[C@@H](C)[C+]2CC1	2.317	-26.937
C[C+]1[C@@H](C)CC[C@]2(C)C[C@H]1[C@]1(C)CC[C@@H]12	C[C+]1CC[C@]2(C)C[C@@H](C)[C@H]1[C@]1(C)CC[C@@H]12	3.443	-0.661
CC(C)=CCC[C+](C)[C@@H]1CC=C(C)CC1	C/C1=C\C[C@@H]([C+](C)C)CC/C(C)=C/CC1	29.821	9.836
C[C+]1CC[C@@]2(C)CCC[C@]3(C)CC[C@@]13C2	C[C+]1CC[C@@]23CC[C@@](C)(CCC[C@]12C)C3	27.263	-1.147
C[C+](C)C/C=C1\CC[C@H](C)[C@H]2CC[C@@]12C	C[C@H]1CC[C+]([C@@H]2CC2(C)C)[C@]2(C)CC[C@H]12	0.001	-15.908
C[C+]1CC[C@H]2C(C)(C)C[C@]23[C@H]1CC[C@H]3C	C[C+]1CC[C@H]2[C@H](C)CC[C@H]3C(C)(C)C[C@]123	3.938	-4.351
C=C1CC[C@@H]2[C@@H](C)CC[C+](C(C)C)C[C@@H]12	C=C1CC[C@@H]2[C+](C)CC[C@@H](C(C)C)C[C@@H]12	13.973	-2.145
C=C1CC[C@H]2[C+](C)CCCC(C)(C)C[C@@H]12	C=C1CC[C@H](C)[C@H]2CCCC(C)(C)[CH+][C@H]12	10.243	-33.142
C=C1CC[C+](C)[C@@H](C)CC[C@@]2(C)CC[C@H]12	C=C1CC[C@@H](C)[C+](C)CC[C@@]2(C)CC[C@H]12	7.175	-3.493
C/C1=C\CC(C)(C)[C@H]2CC[C+](C)[C@@H]2CC1	CC1=C2CC[C+](C)CCC(C)(C)[C@H]2CC1	4.747	-1.306
CC(C)=C[CH+]C[C@H]1CCC(C)=CC[C@H]1C	CC(C)=CCC[C@H]1CC[C+](C)[C@@H]2C[C@@]21C	3.186	-7.436
C[C+]1C(C)(C)C[C@H]2CC[C@H]3[C@H](C)CC[C@@]132	C[C+]1C[C@H]2CC[C@H]3[C@H](C)CC[C@@]32C1(C)C	10.781	10.462
C[C@@H]1[CH+][C@@H]2C[C@@]3(C)CC[C@H](C[C@@H]13)C2(C)C	CC(C)[C@@H]1CC[C@]2(C)[CH+]C=C[C@@H](C)[C@@H]2C1	27.08	17.63
C[C@@H]1CC[C+]2[C@H]1CC(C)(C)[C@@H]1CC[C@]21C	C[C@H]1[CH+][C@@]2(CC1)CC(C)(C)[C@@H]1CC[C@@]12C	23.483	18.386
C[C+](C)[C@]12CC[C@H](C)[C@]13CC[C@@H](C3)[C@@H]2C	C[C@H]1CCC(C)(C)[C+]2[C@@H](C)[C@H]3CC[C@]21C3	2.822	-13.766
C[C+]1CCC[C@]2(C)CC[C@@H](C(C)C)C=C12	C[C+]1CCC[C@]2(C)CCC(CC(C)C)=C12	1.116	0.59
C[C+]1CC[C@@]23[C@H](C)CC[C@@H]2C(C)(C)C[C@H]13	C=C[C@@]1(C)CC[C+]1[C@H](C)CCC=C(C)C	69.002	66.865
C/C1=C/CC[C+](C)[C@@H]2CC(C)(C)[C@H]2CC1	CC1(C)C[C+]2[C@@H]1CC[C@@]1(C)CCC[C@@]21C	11.015	3.665
C[C+]1[C@H]2CC(C)(C)CC[C@]3(C)[C@H]2CC[C@H]13	CC1(C)CC[C@]2(C)[C@@H]3[CH+][C@](C)(C1)[C@H]2CC3	18.655	16.976
CC(C)[C+]1[C@@]2(C)CC[C@@]3(C)CC[C@@]13CC2	C[C+]1CC[C@@]2(C)CC[C@]23CC[C@]13C(C)C	14.174	9.69
C[C@@H]1CC[C@@H]2[C+](CC2(C)C)[C@@]2(C)CC[C@@H]12	C[C@@H]1CC[C@]2([CH+]C(C)(C)C2)[C@@]2(C)CC[C@@H]12	17.629	17.533
C[C+]1CC[C@H](C)[C@]2(C)C[C@@H]2[C@@]2(C)CC[C@H]12	C/C1=C/C[C+](C)[C@@H](C)CC/C(C)=C/CC1	0.257	0.114
C[C@@H]1CC(C)(C)[C@H]2CC[C@]3(C)[CH+][C@]12CC3	C[C+]1CC[C@]23[C@H]1CC[C@@H]2C(C)(C)C[C@H]3C	4.249	0.785
C[C+]1CCCC(C)(C)[C@@]12CC[C@]1(C)C[C@H]21	CC1(C)CCC[C@]2(C)[C+]1CC[C@]1(C)C[C@@H]12	4.151	-2.977
CC1=CC/C(=C(/C)CCC[C+](C)C)CC1	CC1=CC=C([C+](C)CCCC(C)C)CC1	0.619	-21.631
C[C+]1C[C@]2(C)CCC[C@]3(C)CC[C@]23[C@H]1C	C[CH+][C@]1(C)C[C@]2(C)CCC[C@]3(C)CC[C@@]213	33.549	32.434
CC(C)=C1CC[C@@]2(C)CCC[C+](C)[C@@H]2C1	CC(C)=C1C/C=C(/C)CCC[C+](C)CC1	0.597	0.058
C[C+](C)[C@@H]1CC[C@@H](C)[C@]12CC[C@@]1(C)C[C@H]12	CC(C)=CCC[C@@H](C)C1=CC[C+](C)CC1	27.681	20.939
C[C@H]1CC[C+]2C(C)(C)[C@@H]3C[C@@]21CC[C@H]3C	C[C@H]1CC[C@@]23CC[C@@H](C)[C@@H](C2)C(C)(C)[C+]13	7.383	-1.452
CC(C)=C1CC[C@]2(C)CCC[C@@H](C)[C+]2C1	CC(C)=C1CC[C+]2CCC[C@@H](C)[C@]2(C)C1	6.371	-1.03
C[C+]1CC[C@@H](C)[C@]2(C)C[C@@H]2[C@@]2(C)CC[C@@H]12	C/C1=C/CC[C+](C)[C@H]2C[C@@]2(C)[C@H](C)CC1	0	-0.002
CC[C@H]1CC[C+]1[C@@]1(C)CCC(=C(C)C)C1	CC[C@H]1CC[C@]1(C)[C+]1CCC(=C(C)C)C1	9.26	-4.442
CC1(C)C[C@@H]2C[C+]3CCC(C)(C)[C@H]3[C@@H]2C1	C[C+](C)CCC1=C[C@@H]2CC(C)(C)C[C@@H]2C1	31.173	21.736
C[C+](C)[C@@H]1C[C@H]2[C@@H](C)[C@@H]3CC[C@@H](C3)[C@]12C	CC(C)=CC[C@@H]1[C+](C)[C@H]2CC[C@H](C2)[C@@H]1C	3.337	-9.146
CC(C)=C[C@@H]1C[C@H](C)[C@@H]2CC[C+](C)[C@H]1C2	CC(C)=C[C@@H]1C[C@H](C)[C@H]2C[CH+][C@]1(C)CC2	10.072	8.807
CC(C)[C+]1C[C@H]2[C@H]3CC[C@H](C3)[C@@H](C)[C@@]12C	C[C+]1[C@H](C)[C@@H]2CC[C@@H](C2)[C@@H]2C[C@]12C(C)C	10.292	1.226
C=C[C@@]1(C)CC[C@@H]1[C+](C)CCC=C(C)C	C=C[C+](C)CC/C=C(\C)CCC=C(C)C	11.427	7.046
CC(C)=CCC[C+](C)[C@H]1CC=C(C)CC1	CC1=C[CH+][C@H]([C@]2(C)CC[C@@H]2C(C)C)CC1	16.544	-3.444
C=C[C@]1(C)CC[C@@H]1[C+](C)CCC=C(C)C	C/C1=C\C[C@H]([C+](C)C)CC/C(C)=C/CC1	30.381	8.96
CC(C)=C1CC[C@@]2(C)CCC[C+](C)[C@H]2C1	CC(C)=C1[CH+]/C=C(\C)CCC[C@H](C)CC1	21.524	-2.324
CC(C)=CCC[C@H](C)[C@H]1[CH+]C=C(C)CC1	CC(C)=C[CH+]C[C@H](C)[C@H]1CC=C(C)CC1	1.239	-6.001
C/C1=C\C[C+](C)[C@H](C)CC/C(C)=C/CC1	C/C1=C\C/C(C)=C(\C)CC[C+](C)CCC1	11.36	1.157
C[C+](C)[C@]12CC[C@@]1(C)[C@H]1CC[C@]2(C)CC1	CC(C)=C1CC[C@@]1(C)C1CC[C+](C)CC1	32.468	21.893
CC(C)[C@]12CC[C@@]1(C)[C@@H]1CC[C@@H](C)[C+]1C2	C[C+]1CC[C@]2(C(C)C)C[C@]23[C@H]1CC[C@H]3C	13.075	3.74
C[C+]1C[C@@H]2C(C)(C)CCC[C@H](C)[C@]23C[C@H]13	CC1=CC[C+]2[C@@H](C)CCCC(C)(C)[C@H]2C1	15.759	11.672
C[C+]1[C@@H](C)C[C@@]2(C)CCC[C@@]2(C)C12CC2	C[C@H]1C[C@@]2(C)CCC[C@@]2(C)[C+]2CC[C@@]21C	7.506	-3.262
CC1=CC[C@H]([C@]2(C)[C+](C)CC[C@@H]2C)CC1	CC1=CC[C+](C2(C)[C@@H](C)CC[C@@H]2C)CC1	6.311	-5.762
C[C+]1C[C@@H]2[C@H](CC[C@@]3(C)CC[C@@H]13)C2(C)C	C[C+](C)[C@H]1CC[C@@]2(C)CC[C@H]2[C@@]2(C)C[C@@H]12	3.628	2.868
CC1=C[C@@H]2[C@H]([C+](C)C)CC[C@@H](C)[C@@H]2CC1	CC1=C[C@@H]2[C+](C(C)C)CC[C@@H](C)[C@@H]2CC1	2.901	-5.694
C[C@@H]1C=C[C+]([C@]2(C)CC[C@H](C)[C@H]2C)CC1	C[C+]1CC[C@H](C)[C@@H](C)[C@@]12C=C[C@@H](C)CC2	17.535	8.232
C[C+]1CCCC(C)(C)CC[C@H]1C=C1CC1	C[C@@H]1C[CH+]CC(C)(C)CC[C@H]1C=C1CC1	7.002	4.376
CC(C)=C1CC[C@]2(CC[C@@H](C)CC2)[C+]1C	CC(C)=C1CC[C@]1(C)[C+]1CCC(C)CC1	29.445	27.048
C/C1=C/CC[C+](C)[C@H]2C[C@@]2(C)[C@@H](C)CC1	C=C1C[CH+][C@@]2(C)CCC[C@@]2(C)CC[C@@H]1C	17.901	16.944
C[C@H]1CC(C)(C)[C@]23CCC[C@H]2C[C@@H](C)[C+]13	C[C@H]1CC(C)(C)[C@]23[CH+]CC[C@H]2C[C@@H](C)[C@H]13	9.522	6.855
CC1=CC[C@H]2[C@@H](C)CC[C@@]2([CH+]C(C)C)C1	CC1=CC[C+]2[C@@H](C)CC[C@@]2(CC(C)C)C1	1.537	-16.883
CC[C@]12CC[C+]1[C@]1(C)CC[C@@H](C)[C@]1(C)C2	CC[C+]1C[C@@]2(C)[C@H](C)CC[C@@]2(C)C12CC2	15.097	-1.476
C[C+]1C[C@@]2(C)CC[C@@H]1C[C@@H]1[C@@H]2CC[C@H]1C	C=C(C)[C@@H]1CC[C+](C)[C@H]2CC[C@@H](C)[C@@H]2C1	31.609	29.563
C[C+]1CC[C@@H](C)[C@]2(C)C[C@@H]2[C@@]2(C)CC[C@H]12	C[C+]1[C@H]2C[C@@]2(C)[C@H](C)CC[C@@H](C)C12CC2	25.867	1.735
C[C+]1[C@@H]2C[C@]2(C(C)C)C[C@H]2[C@@H](C)CC[C@H]12	CC(C)[C+]1C[C@H]2[C@@H](C)CC[C@@H]2[C@]2(C)C[C@H]12	18.76	-1.346
CC(C)=CCC[C@]1(C)[C+](C)[C@H]2CC[C@@H]1C2	CC(C)=C[CH+]C[C@]1(C)[C@@H](C)[C@H]2CC[C@@H]1C2	1.35	-7.441
C[C+]1[C@@H]2CC[C@@H](C2)[C@]1(C)[C@@H]1CCC1(C)C	CC1(C)CC[C@H]1[C+]1[C@H]2CC[C@H](C2)C1(C)C	7.351	-10.324
CC(C)=C[C@@]12CCC[C@@](C)(CC[C+]1C)C2	CC(C)=C[C+]1CCC[C@@]2(C)CC[C@]1(C)C2	5.664	-4.785
C[C@@H]1C[C@H]2CC(C)(C)C[C@@]23[C+]1CC[C@H]3C	C[C+]1C[C@H]2CC(C)(C)C[C@]23[C@H](C)CC[C@H]13	2.009	-3.314
C[CH+][C@@]1(CCC=C(C)C)CC=C(C)CC1	CC(C)=CCC[C@H](C)[C+]1CC=C(C)CC1	5.127	-10.111
C[C@H]1CC[C@@]2(C)[C+]([C@H]3CC3(C)C)CC[C@@H]12	C[C+](C)C/C=C1\CC[C@H]2[C@@H](C)CC[C@@]12C	2.249	0.195
C[C+]1CC[C@@H]2[C@@H]3[C@@H](C)CC[C@H]3C(C)(C)[C@H]12	CC1=C[C@@H]([C@@H]2[C@@H](C)CC[C@H]2[C+](C)C)CC1	28.99	18.675
C[C+]1C2=CCC[C@@]1(C)CCCC(C)(C)C2	C[C+]1CCC=C2CC(C)(C)CCC[C@@]21C	6.05	4.905
C[C@@H]1CC[C+]1[C@@H]1CC(C)(C)C[C@@]12C[C@H]2C	C[C@@H]1CC[C@H]1[C+]1CC(C)(C)C[C@@]12C[C@H]2C	10.009	-11.589
C[C+]1CC[C@H](C)[C@@]2(C)C[C@H]2[C@]2(C)CC[C@H]12	C[C+]1[C@@H](C)CC[C@]2(C)C[C@H]1[C@]1(C)CC[C@@H]12	10.086	-24.473
CC1(C)C[C@H]2CC[C@@]3(C)CC[C@@](C)(C1)[C+]23	CC1(C)C[C@H]2CC[C+]3CC[C@@](C)(C1)[C@@H]2C3	13.346	0.076
C[C+]1CC[C@@]12[C@@H](C)CC[C@@H](C)[C@@]1(C)C[C@@H]21	C[C@H]1CC[C@@H](C)[C@@]2(C)C[C@H]2[C+]1C1(C)CC1	2.138	-10.217
C[C@H]1CC[C@@]23CC[C@@H]([C@@H](C)C2)C(C)(C)[C+]13	C[C+](C)[C@@]12[C@@H](C)CC[C@]13CC[C@H]2[C@@H](C)C3	29.566	15.195
C[C+](C)[C@H]1CC[C@H](C)[C@]12CC[C@]1(C)C[C@@H]12	C[C+]1CC[C@H](C(C)C)[C@@]12CC[C@]1(C)C[C@@H]12	5.314	2.853
CC1(C)CCC[C@@]2(C)C[C+]3CC[C@H]2[C@@H]3C1	C[C@H]1CC[C@]23[CH+]CC(C)(C)CCC[C@]12C3	11.884	-21.632
C[C+]1[C@@H]2CC[C@H](C)[C@@H]2C[C@H](C)[C@]2(C)C[C@H]12	C[C+]1[C@@H](C)C[C@H]2[C@@H](C)CC[C@H]2[C@@]12C[C@H]2C	13.048	-0.928
C[CH+][C@@H]1C[C@@H](C(C)C)CC2=C(C)CC[C@@H]21	C/C=C\C[C@H](CC1=C(C)CC[CH+]1)C(C)C	10.963	9.526
C[C+]1CCC=C2CCCC(C)(C)C[C@H]1C2	C[C@H]1[CH+][C@H]2CC(C)(C)CCCC2=CCC1	12.637	12.637
CC(C)[C+]1C[C@@]2(C)CC[C@@]3(C)C[C@@H]1C[C@H]32	CC(C)C[C+]1[C@H]2C[C@@H]3[C@@](C)(CC[C@]13C)C2	14.612	-12.225
CC1=C[C@@H]([C@@H]2CCCC(C)(C)[C+]2C)CC1	C[C+]1CC[C@@H]2[C@@H]3CCCC(C)(C)[C@]3(C)[C@H]12	7.226	-9.104
CC(C)[C+]1[C@H]2CC[C@@]2(C)[C@@H]2CC[C@@]1(C)C2	C[C+]1CC[C@@H]2C[C@@]1(C(C)C)[C@H]1CC[C@]12C	8.496	7.443
CC(C)[C@]12CC[C@@]1(C)[C+]1CC[C@H](C)[C@@H]1C2	C[C+]1[C@]2(C(C)C)CC[C@]13CC[C@H](C)[C@@H]3C2	3.96	-9.155
CC1=CC[C@]2(CCC[C@@]2(C)[C+](C)C)CC1	C[C+]1CC[C@]23CCC[C@@]2(C)C(C)(C)[C@H]1C3	7.178	-23.673
CC1(C)CC[C@@H]2[C+]1CC[C@H]1[C@@H]2CC1(C)C	C[C+](C)[C@@]12CC[C@H]3[C@H](CC3(C)C)[C@@H]1CC2	20.673	13.1
C[C+](C)[C@@H]1[C@@H]2C[C@@]3(C)CCC[C@](C)(C3)[C@@H]21	CC(C)=C[C+]1C[C@]2(C)CCC[C@](C)(C1)C2	30.519	-5.182
C[C@@H]1CC[C+]2[C@@H]1CC[C@]1(C)C[C@@H](C)[C@]21C	C[C+]1[C@]2(C)CC[C@@H]3[C@H](C)CC[C@]13[C@H](C)C2	4.566	-0.629
C[C@@H]1CC[C@H]2[C+]1[C@H](C1(C)CC1)CC2(C)C	C[C@@H]1CC[C@H]2[C@H]1[C+](C1(C)CC1)CC2(C)C	4.504	-0.902
C[C@H]1CC[C+]2CC[C@@H]3C[C@@]21[C@@H]3C(C)(C)C	C[C@H]1CC[C@]23CC[C@H](C[C+]12)[C@H]3C(C)(C)C	6.472	-4.162
C=C[C+](C)CC/C=C(\C)CCC=C(C)C	C=C[C@@H](C)C/C=C/[C+](C)CCC=C(C)C	116.417	-2.353
C[C+]1[C@@H]2CC[C@@H](C)[C@@]23CC[C@](C)(C3)[C@@H]1C	C[C@@H]1[C@]2(C)[CH+]CC[C@@H](C)[C@@]23CC[C@]1(C)C3	22.217	17.54
C[C+]1CC[C@H]2[C@@H]1[C@@]2(C)[C@H]1CC[C@@H]1C(C)C	CC1=C[C@@](C)([C@H]2CC[C@@H]2[C+](C)C)CCC1	30.224	12.455
C[C@@H]1CC[C+]2[C@@H](C[C@]3(C)CC[C@H]13)C2(C)C	C[C+](C)/C1=C\C[C@]2(C)CC[C@@H]2[C@H](C)CC1	0.016	-18.606
CC1=CC[C@H]([C@]2(C)CCC(C)(C)C2)[CH+]C1	CC1=CC[CH+][C@H]([C@]2(C)CCC(C)(C)C2)C1	10.274	-0.052
C[C@H]1CC[C@H]2C[C@@H](C)[C@@]13CC(C)(C)C[C+]23	C[C@H]1CC[C@@]23CC(C)(C)C[C@@H]2C[C@@H](C)[C+]13	3.184	-10.087
